Issue_ID,Detected_Date,Source_System,Record_ID,Client_ID,Client,Issue_Type,Issue_Description,Difference_Amount_CAD,Severity,Status,Owner,Resolved_Date
DQ0001,2025-04-16,Deal Tracking,E000495,C005,Cascade Consumer Brands,Missing Owner,Data owner or accountable business contact is not assigned.,0,Low,Open,Business Management,
DQ0002,2025-05-18,Management Reporting,PERF-00159,C020,Glacier Manufacturing,Source-System Difference,Values differ across source systems for the same record.,6800,Medium,Resolved,Data Office,2025-05-30
DQ0003,2025-12-04,Deal Tracking,E000120,C024,Pacific Hospitality,Unreconciled Amount,Reported amount does not reconcile to the general ledger.,43200,Medium,Resolved,Data Office,2026-01-03
DQ0004,2025-08-08,General Ledger,E000184,C018,Silverline Insurance,Invalid Mapping,"Product, client, or cost-centre mapping is invalid or outdated.",0,Medium,Resolved,Finance Controls,2025-08-29
DQ0005,2025-02-11,CRM,PERF-01082,C016,Nova Retail Holdings,Unreconciled Amount,Reported amount does not reconcile to the general ledger.,23900,Medium,Resolved,Operations,2025-03-02
DQ0006,2025-11-05,Management Reporting,E000263,C020,Glacier Manufacturing,Duplicate Row,Potential duplicate record detected using key-field matching.,0,Medium,Open,Product Control,
DQ0007,2025-04-14,General Ledger,PERF-00048,C015,Titan Aerospace,Unreconciled Amount,Reported amount does not reconcile to the general ledger.,38500,High,Resolved,Product Control,2025-05-14
DQ0008,2025-07-05,General Ledger,PERF-00235,C006,Summit Mining,Unreconciled Amount,Reported amount does not reconcile to the general ledger.,21800,High,Resolved,Operations,2025-07-20
DQ0009,2025-03-15,Client Master,PERF-00899,C010,Cedar Financial Group,Duplicate Row,Potential duplicate record detected using key-field matching.,0,Medium,In Remediation,Business Management,
DQ0010,2025-06-15,Expense Platform,E000477,C022,Beacon Education Group,Missing Definition,Business definition or calculation logic is incomplete.,0,Medium,Open,Data Office,
DQ0011,2025-11-26,General Ledger,E000221,C021,Trillium Utilities,Invalid Mapping,"Product, client, or cost-centre mapping is invalid or outdated.",0,High,Open,Finance Controls,
DQ0012,2025-03-17,Expense Platform,PERF-00702,C001,Northstar Energy,Unreconciled Amount,Reported amount does not reconcile to the general ledger.,27400,Medium,Open,Business Management,
DQ0013,2025-06-05,Client Master,E000376,C002,Aurora Mobility,Duplicate Row,Potential duplicate record detected using key-field matching.,0,High,Resolved,Operations,2025-06-15
DQ0014,2025-12-19,Expense Platform,E000412,C022,Beacon Education Group,Duplicate Row,Potential duplicate record detected using key-field matching.,0,Medium,Open,Data Office,
DQ0015,2025-12-24,Deal Tracking,PERF-00982,C003,Maple Health Systems,Unreconciled Amount,Reported amount does not reconcile to the general ledger.,31300,High,Resolved,Operations,2026-01-03
DQ0016,2025-12-19,General Ledger,E000481,C009,Atlas Logistics,Missing Definition,Business definition or calculation logic is incomplete.,0,Critical,Resolved,Finance Controls,2025-12-24
DQ0017,2025-10-16,CRM,E000100,C002,Aurora Mobility,Missing Definition,Business definition or calculation logic is incomplete.,0,Low,Resolved,Data Office,2025-11-28
DQ0018,2025-07-22,Client Master,E000265,C009,Atlas Logistics,Unreconciled Amount,Reported amount does not reconcile to the general ledger.,26500,High,Resolved,Finance Controls,2025-08-11
DQ0019,2025-01-05,General Ledger,PERF-00542,C012,Evergreen Foods,Missing Definition,Business definition or calculation logic is incomplete.,0,Medium,In Remediation,Business Management,
DQ0020,2025-12-02,Deal Tracking,E000334,C016,Nova Retail Holdings,Unreconciled Amount,Reported amount does not reconcile to the general ledger.,42600,Medium,Resolved,Product Control,2026-01-15
