Month_Start,Month_Label,Month_Sort,Year,Quarter,Month_Number
2025-01-01,Jan 2025,202501,2025,Q1,1
2025-02-01,Feb 2025,202502,2025,Q1,2
2025-03-01,Mar 2025,202503,2025,Q1,3
2025-04-01,Apr 2025,202504,2025,Q2,4
2025-05-01,May 2025,202505,2025,Q2,5
2025-06-01,Jun 2025,202506,2025,Q2,6
2025-07-01,Jul 2025,202507,2025,Q3,7
2025-08-01,Aug 2025,202508,2025,Q3,8
2025-09-01,Sep 2025,202509,2025,Q3,9
2025-10-01,Oct 2025,202510,2025,Q4,10
2025-11-01,Nov 2025,202511,2025,Q4,11
2025-12-01,Dec 2025,202512,2025,Q4,12
